,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast_size,genre_span,running_time,metscore,rotten_tomatoes,other_wins,other_noms,precount_wins,precount_noms,win,nom,mystery,sci-fi,biography,comedy,news,talk-show,horror,documentary,thriller,short,crime,sport,war,animation,fantasy,musical,action,drama,history,western,game-show,romance,reality-tv,family,music,adventure,film-noir
0,tt0097626,johnny handsome,1989,8324,6.2,20.0,7.24,7.0,3.0,96.0,6.2,6.2,0.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,tt0092997,extreme prejudice,1987,5649,6.7,22.0,1130784.49,3.0,3.0,104.0,5.1,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2,tt0120903,x-men,2000,545484,7.4,75.0,296.3,10.0,4.0,104.0,6.4,8.1,13.0,26.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,tt0077975,national lampoon's animal house,1978,106817,7.5,3.0,141.6,6.0,1.0,109.0,7.9,9.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,tt0091757,pirates,1986,7361,6.1,1274.0,4560.0,6.0,3.0,726.0,6.1,3.0,2.0,1.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,tt1649419,the impossible,2012,182949,7.6,45.0,198.1,3.0,3.0,113.0,7.3,8.1,28.0,68.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,tt0077869,the lord of the rings,1978,28044,6.2,281.0,2919.0,15.0,3.0,558.0,6.2,5.2,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
7,tt0120338,titanic,1997,983627,7.8,200.0,2187.0,10.0,4.0,195.0,7.5,8.9,115.0,80.0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,tt2488496,star wars: episode vii - the force awakens,2015,802470,7.9,306.0,2068.0,13.0,4.0,135.0,8.1,9.3,62.0,125.0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,tt7768640,star wars: the force awakens,2015,8,6.0,306.0,2068.0,13.0,2.0,135.0,6.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
